id,name,position,age,dateOfBirth,salary
10,Hendrick,Internal Auditor,20,1983-07-27,1360
3,Marillin,Help Desk Technician,25,1983-03-14,1405
10,Harp,Internal Auditor,19,1984-06-23,3454
10,Royal,Office Assistant I,30,1981-08-28,3487
5,Turner,Internal Auditor,21,1981-01-24,2737
8,Ced,Data Coordinator,26,1989-02-07,1994
4,Smitty,Speech Pathologist,20,1988-11-27,2092
9,Natassia,Staff Scientist,19,1988-07-16,1846
1,Margareta,Civil Engineer,22,1982-02-23,1945
8,Zita,Office Assistant II,20,1983-07-07,2930
